ID;Status;Uptime;Country;Location;Ships;Distinct
2508;;100 %; Germany;Neckarwestheim;21;3
2837;;100 %; United Kingdom;Oldcroft;21;1
2337;;100 %; Brazil;Florianopolis;21;18
2855;;100 %; United States of America;Brunswick;21;14
2652;;100 %; Germany;Hamburg;21;0
2738;;99 %; United States of America;Huntingdon Valley;21;4
3755;;100 %; Germany;Woltersdorf;21;2
3281;;100 %; United Kingdom;Felixstowe / Harwich / Mistley;20;0
3242;;100 %; Norway;Haugesund;20;2
2092;;100 %; Portugal;Lisbon;20;2
2442;;86 %; Canada;Montreal;20;0
2445;;100 %; New Zealand;Roaming station;20;20
2583;;100 %; United Kingdom;Broadford;20;11
2521;;100 %; Italy;Gela;20;18
2196;;100 %; Sweden;Norrtälje;20;0
2876;;99 %; Indonesia;Batang;20;3
2943;;100 %; New Zealand;Auckland;20;19
2876;;99 %; Indonesia;Batang;20;3
3242;;100 %; Norway;Haugesund;20;2
2916;;1 %; Slovenia;Izola;20;0
3238;;100 %; Canada;East Point Saturna Island;19;0
2287;;100 %; Netherlands;Rosmalen;19;10
2259;;100 %; Colombia;Salgar;19;2
2320;;100 %; France;Brest;19;0
3485;;100 %; Greece;Patra;19;19
3910;;100 %; Greece;Ermoupoli Syros;19;14
3348;;100 %; Portugal;Coimbra;19;7
3036;;99 %; Greece;Piraeus;19;0
2709;;100 %; Norway;Tromsø;19;0
3126;;100 %; United States of America;Mililani, HI;19;4
2051;;100 %; Norway;Lovund;18;2
2129;;40 %; Poland;Szczecin;18;2
3162;;100 %; France;Cléden-Cap-Sizun;18;4
2520;;99 %; Austria;Vienna;18;16
2436;;100 %; United States of America;Treehouse, Virgin Islands;18;8
2587;;100 %; United Kingdom;Felixstowe;18;0
2069;;100 %; Portugal;Albufeira;18;17
2715;;92 %; Thailand;Songhla;18;18
2986;;76 %; Italy;Gulf of Milazzo;18;0
2759;;100 %; Germany;Bruehl-Baden;18;8
2827;;100 %; United States of America;Key Largo;18;18
2022;;100 %; Japan;Hamamatsu Hamana;17;17
3015;;92 %; Indonesia;Balikpapan, East Kalimantan;17;0
2208;;100 %; Germany;Mannheim;17;3
3765;;99 %; United States of America;Sea Isle City, NJ;17;11
2408;;100 %; United States of America;Vashon Island, WA;17;3
2562;;100 %; Norway;Brostadbotn;17;14
3461;;100 %; France;Théoule-sur-Mer;17;1
2183;;100 %; Portugal;Lisbon;17;4
2108;;100 %; Australia;Sans Souci;17;3
3955;;98 %; Germany;Münster;17;17
2646;;24 %; United States of America;Arkwright, NY;17;11
3853;;100 %; Mauritius;Port Louis;17;17
2685;;100 %; United States of America;Berwick;17;9
2730;;100 %; Indonesia;Kota Kupang;17;16
2751;;100 %; Netherlands;Grootegast;17;5
2765;;100 %; France;Guipavas;17;0
2793;;100 %; Germany;Wismar;17;2
2982;;100 %; Norway;Tromsø;17;0
2089;;99 %; Italy;Trapani;16;16
3273;;100 %; Sweden;Faro;16;14
2500;;100 %; Netherlands;Drachten;16;5
2050;;100 %; Estonia;Tallinn;16;2
2104;;100 %; Denmark;Gershøj;16;2
3436;;100 %; Netherlands;Ferwoude;16;1
2969;;100 %; United States of America;Clifton;16;3
2637;;100 %; Australia;Devonport;16;6
2637;;100 %; Australia;Devonport;16;6
2830;;100 %; New Zealand;Wellington;16;0
2838;;100 %; Australia;Geraldton;16;16
2969;;100 %; United States of America;Clifton;16;3
2983;;100 %; Thailand;Bangkok;16;16
3056;;100 %; Netherlands;Leiden;16;2
3273;;100 %; Sweden;Faro;16;14
3436;;100 %; Netherlands;Ferwoude;16;1
2184;;79 %; Cyprus;Larnaca;15;15
2497;;100 %; Netherlands;Warmond;15;3
2370;;60 %; Trinidad and Tobago;Chaguaramas;15;14
2676;;46 %; Canada;Toronto;15;0
2706;;100 %; Canada;Montreal;15;2
2786;;99 %; Turkey;Bakırköy;15;15
2851;;85 %; Italy;Chioggia;15;2
3028;;96 %; United States of America;Fairhaven, MA;15;15
3110;;100 %; United States of America;Vicksburg;15;14
3146;;100 %; United Kingdom;London;15;0
3177;;100 %; Sweden;Visby;15;13
3378;;100 %; United States of America;Canada, Redwood City;15;2
3776;;100 %; United States of America;Roaming station;15;15
3823;;100 %; United States of America;Roaming station;15;3
2202;;100 %; Canada;Ucluelet;14;14
2314;;98 %; Netherlands;Utrecht;14;3
2207;;100 %; Germany;Wismar;14;2
2197;;91 %; United States of America;Warwick, Rhode Island;14;10
2157;;100 %; Norway;Kolvereid;14;2
2515;;100 %; United Kingdom;Lyme Regis;14;5
2434;;100 %; Switzerland;Pratteln;14;3
2551;;100 %; Germany;Elbe River, Drochtersen;14;2
2660;;100 %; Canada;Sorel-Tracy;14;0
2691;;100 %; Netherlands;Utrecht;14;0
2707;;100 %; United States of America;Hampton, VA;14;0
2755;;100 %; Netherlands;Nes Ameland;14;13
2872;;100 %; Denmark;Dragør;14;0
2883;;100 %; Korea;Nam-gu,Pohang;14;14
2889;;99 %; Russian Federation;Moscow;14;14
2939;;98 %; Austria;Loimersdorf;14;9
3180;;100 %; Japan;Aichi Takahama;14;14
3197;;100 %; Greece;Thessaloniki;14;1
3230;;100 %; United States of America;Port Ludlow, WA;14;10
3478;;100 %; United Kingdom;Canvey Island;14;0
3656;;100 %; Russian Federation;Sankt Petersburg;14;14
2570;;100 %; Germany;Kiel-Suchsdorf;13;0
2580;;100 %; Denmark;Frederikssund;13;10
2297;;100 %; United Kingdom;Great Yarmouth;13;12
2572;;100 %; France;Mandelieu La Napoule;13;0
2040;;100 %; Viet Nam;HCMC;13;12
2239;;100 %; Netherlands;Goor;13;13
2150;;100 %; Ireland;Lackenbehy;13;0
2544;;100 %; New Zealand;Tauranga;13;0
2041;;100 %; United States of America;New York;13;0
2194;;100 %; Serbia;Belgrade;13;13
2429;;100 %; Netherlands;Rotterdam;13;7
2614;;100 %; United States of America;Kingwood;13;4
2732;;100 %; United Kingdom;Rosneath;13;0
2980;;100 %; Netherlands;Amsterdam;13;0
2998;;100 %; Sweden;Harnosand;13;13
3062;;99 %; Australia;Rockingham;13;8
3188;;100 %; Kuwait;Kuwait;13;13
3189;;100 %; Canada;Vancouver - Fraser River;13;0
3563;;100 %; Germany;Berlin;13;0
3875;;99 %; United Kingdom;Cornwall;13;0
2159;;100 %; United Kingdom;Swanage;12;0
2187;;100 %; United States of America;Canada, Monterey;12;7
2166;;100 %; France;Saint Georges de Didonnes;12;0
2055;;100 %; United Kingdom;London & Poole;12;1
2725;;100 %; Denmark;Aarhus;12;0
2728;;99 %; Netherlands;Beuningen;12;0
2754;;100 %; Germany;Barrien;12;6
2834;;25 %; Australia;Bunbury;12;0
2865;;100 %; Germany;Frankfurt;12;6
2898;;100 %; United States of America;Burien;12;0
3128;;94 %; Sweden;Malmö;12;3
3274;;100 %; United Kingdom;Welton;12;2
3427;;100 %; Australia;Lemon Tree Passage;12;0
3519;;73 %; Unknown;Roaming station;12;9
3676;;100 %; Canada;Kitimat;12;12
3689;;100 %; Dominican Republic;Santo Domingo, D. N.;12;12
2495;;100 %; United States of America;Duluth, MN;11;2
2084;;100 %; Greece;Ios;11;6
2514;;100 %; United Kingdom;Lochgelly;11;2
2342;;100 %; Sweden;Ostra Husby;11;0
2028;;100 %; United States of America;Roaming station;11;0
2530;;97 %; United States of America;Key Largo, FL;11;0
2418;;100 %; Norway;Årland;11;3
2503;;100 %; United Kingdom;Ardrossan;11;10
2840;;100 %; Germany;Duisburg;11;0
3201;;100 %; Canada;Sorel-Tracy;11;0
3298;;100 %; Spain;Baiona;11;10
3323;;100 %; Spain;A Coruña;11;0
3368;;100 %; United Kingdom;Stornoway;11;11
3482;;100 %; Philippines;Cebu;11;11
3493;;100 %; South Africa;Gordon's Bay;11;5
3498;;100 %; United Kingdom;Hadleigh, Essex;11;0
3614;;100 %; Netherlands;Dordrecht;11;0
2265;;100 %; United Kingdom;Falmouth;10;5
2483;;94 %; Netherlands;Nederweert;10;10
2328;;100 %; Canada;Rimouski;10;1
3048;;96 %; France;Poses;10;10
2109;;96 %; Sweden;Oskarshamn;10;10
2477;;100 %; United Kingdom;Humber Dock;10;2
2470;;100 %; Netherlands;Zwolle;10;0
2100;;100 %; United States of America;Portsmouth;10;9
2752;;95 %; Sweden;Grisslehamn;10;5
2989;;100 %; Germany;Gernsheim;10;7
2993;;100 %; Thailand;Samut Prakan;10;10
3069;;91 %; Unknown; ;10;0
3204;;100 %; Canada;Ontario, Burlington;10;2
3282;;100 %; Germany;Emden;10;5
3638;;100 %; United Kingdom;Portland;10;0
3754;;100 %; Germany;Fürstenwalde;10;9
3914;;100 %; Germany;Kornwestheim;10;8
3934;;100 %; United States of America;Montclair;10;0
2263;;100 %; United Kingdom;Wigan;9;0
2114;;100 %; Spain;Fuerteventura;9;9
2162;;99 %; Finland;Kiukainen;9;0
2271;;100 %; United States of America;Pohick, WV;9;0
2049;;100 %; United States of America;Maryland;9;0
2542;;100 %; Australia;Shellharbour;9;7
2582;;100 %; Germany;Siegburg;9;0
2232;;100 %; Portugal;Porto;9;4
2935;;100 %; Denmark;Omoe;9;2
2948;;100 %; United States of America;Delaware, Fenwick Island;9;7
2964;;100 %; Canada;Oakville, Ontario;9;0
3017;;100 %; Germany;Duisburg;9;0
3114;;97 %; Spain;Cala Llonga, Menorca;9;9
3164;;93 %; Canada;Mississauga;9;0
3205;;100 %; Portugal;Carvoeira;9;9
3213;;100 %; United States of America;Merritt Island, FL;9;1
3237;;99 %; France;Castel-Bian Carantec;9;3
3247;;100 %; United States of America;Philadelphia;9;0
3433;;80 %; Germany;Roaming station;9;1
3541;;100 %; Sweden;Furuvik;9;9
3584;;100 %; Ireland;Greystones;9;2
3696;;100 %; Ireland;Rashbrooke, Cobh;9;0
2294;;76 %; Unknown;Roaming station;8;0
2038;;100 %; United States of America;Williamstown, WV;8;0
2200;;100 %; United States of America;Vienna, VW;8;0
2056;;93 %; United States of America;New Orleans;8;8
2431;;100 %; France;Cap Ferret;8;8
2152;;100 %; United States of America;Brielle;8;6
2409;;100 %; Netherlands;Sliedrecht;8;1
2479;;100 %; Estonia;Tallinn;8;0
2381;;100 %; Brazil;Recife;8;8
2234;;100 %; Spain;Laracha;8;8
2651;;100 %; Jersey;S/Y Aweh;8;7
2717;;100 %; Germany;Heilbronn;8;2
2814;;100 %; United States of America;Port Huron;8;8
2850;;100 %; Brazil;Fortaleza;8;8
3245;;100 %; Spain;Málaga;8;7
3260;;100 %; Netherlands;Lelystad;8;0
3304;;100 %; Ireland;Newcastle;8;2
3342;;100 %; United States of America;San Francisco;8;7
3351;;100 %; United Kingdom;Shoreham;8;0
3424;;100 %; Denmark;Holbæk;8;7
3452;;100 %; Estonia;Tallinn;8;1
2218;;100 %; Canada;Newfoundland, St. Johns;7;7
2025;;63 %; Canada;Windsor, Ontario;7;7
2149;;100 %; United States of America;Niceville, FL;7;6
2122;;53 %; Norway;Homborsund;7;0
2250;;100 %; Netherlands;Zoeterwoude;7;0
2526;;100 %; Spain;Oviedo;7;7
2223;;100 %; Germany;Bremen Winterhafen;7;0
2451;;100 %; Sweden;Segersang;7;4
2745;;100 %; United States of America;Seattle;7;1
2824;;100 %; Belgium;Antwerpen;7;0
2866;;100 %; Colombia;Puerto Colombia;7;4
2994;;85 %; Norway;Moss;7;0
3167;;100 %; Australia;Gladstone;7;7
3403;;100 %; Spain;Carboneras;7;7
3576;;85 %; Italy;Zagarolo;7;6
3832;;100 %; United States of America;Indian Harbour Beach;7;7
3956;;100 %; United States of America;Boaz, WV;7;7
2280;;96 %; South Africa;Cape Town;6;3
2295;;100 %; Germany;Cologne;6;0
2366;;100 %; Norway;Trondheim;6;0
2244;;100 %; Netherlands;Almelo;6;5
2393;;100 %; Norway;Rognan;6;6
2382;;100 %; Germany;Offenbach;6;5
2301;;100 %; Netherlands;Grave;6;0
2427;;97 %; Mexico;Cozumel;6;0
2438;;99 %; United Kingdom;Scotland, Broadford Bay, Isle of Skye;6;0
2105;;100 %; Netherlands;Spijkenisse;6;0
2440;;100 %; United Kingdom;Cardiff;6;3
2245;;100 %; Australia;Tasmania;6;0
2553;;100 %; Italy;Pescara ;6;6
2665;;63 %; United Kingdom;London;6;0
2711;;100 %; Indonesia;Sampang;6;6
2734;;99 %; Netherlands;Driebergen;6;2
2849;;57 %; Netherlands;Nieuwersluis;6;1
2901;;100 %; France;Lorient;6;0
2924;;97 %; Spain;O Grove;6;5
2927;;100 %; Sweden;Luleå;6;6
2999;;90 %; United States of America;Providence, RI;6;2
3139;;98 %; Spain;Canary Islands, Tenerife, Playa Paraiso;6;6
3160;;100 %; Germany;Wildau;6;1
3171;;100 %; Norway;Sokndal;6;1
3228;;99 %; France;Carantec;6;0
3320;;96 %; Netherlands;Venhuizen;6;1
3489;;100 %; Brazil;Maceio;6;6
3495;;100 %; United Kingdom;Cornwall, The Lizard;6;0
3655;;100 %; United States of America;Chicago, IL;6;4
2343;;100 %; United States of America;La Conner, WA;5;1
2283;;99 %; Israel;Haifa;5;4
2168;;100 %; Denmark;Dragør;5;0
3011;;100 %; United States of America;Belpre, Ohio;5;1
2033;;100 %; United States of America;Bodega Bay;5;1
2014;;99 %; United States of America;Fairfield;5;4
2425;;98 %; Netherlands;Ter Walslage;5;5
2496;;100 %; United Kingdom;London;5;0
2450;;100 %; Sweden;Trollhattan;5;0
2389;;99 %; Thailand;Surat Thani;5;5
2531;;93 %; Germany;Frankfurt;5;0
2600;;100 %; Germany;Hamm;5;5
2615;;100 %; New Zealand;Tasman;5;0
2677;;100 %; Netherlands;Loch Lomond;5;2
2780;;96 %; New Zealand;Christchurch;0;0
2789;;100 %; Denmark;Aabenraa;5;5
2832;;100 %; Netherlands;Moune Ein / 9214VR / Smalle EE;5;0
2891;;97 %; India;Nagercoil;5;5
2968;;100 %; Netherlands;Drachten;5;0
3295;;100 %; Netherlands;Eijsden;5;5
3306;;78 %; United States of America;Rockport, MA;5;4
3454;;86 %; United States of America;Tennessee, Eva;5;0
3516;;100 %; Unknown;Roaming station;5;4
3951;;100 %; Netherlands;Drachten;5;0
3971;;97 %; Japan;Itoigawa-shi, Niigata;5;5
2264;;100 %; Finland;Uto;4;3
2288;;96 %; Australia;Johanna;4;4
2363;;100 %; Germany;Offenbach Bürgel;4;0
2174;;100 %; New Zealand;Whakatane;4;4
2330;;86 %; Netherlands;Stein;4;3
2410;;100 %; United Kingdom;Gourock;4;0
2407;;100 %; Finland;Turku;4;0
2538;;100 %; United States of America;Wilmington;4;4
2336;;100 %; Sweden;Trollhättan;4;0
2585;;100 %; United States of America;Seattle, WA;4;1
2082;;100 %; Netherlands;Amsterdam;4;0
2673;;100 %; Ireland;Dublin;4;3
2772;;100 %; United States of America;San Diego Web Cam (PLE);4;1
2815;;96 %; Netherlands;Delft;4;0
2858;;100 %; Germany;Brandenburg;4;4
2863;;100 %; Netherlands;Camping Kijkuit, Zonnemaire;4;0
2875;;82 %; United States of America;Isleton;4;4
2900;;100 %; United Kingdom;Dyffryn Ardudwy;4;3
2905;;95 %; Canada;Lower Three Fathom Harbour;4;1
2977;;100 %; Sweden;Krokslätt;4;0
3349;;100 %; Norway;Hordvik;4;0
3361;;98 %; Denmark;Korsør;4;3
3371;;95 %; Spain;Sanlúcar de Barrameda;4;4
3374;;64 %; Australia;Point Lonsdale;4;4
3453;;100 %; Germany;Stralsund;4;4
3472;;100 %; Germany;Flensburg;4;4
3560;;100 %; United States of America;Illinois, Lake Bluff;4;2
3607;;98 %; United Kingdom;Scotland, Edinburgh;4;1
3693;;85 %; Sweden;Hudiksvall;4;4
3703;;100 %; Uruguay;Roaming station;4;3
3705;;98 %; Netherlands;Den Ham;4;2
3932;;90 %; French Polynesia;Roaming station;4;1
2103;;99 %; United Kingdom;London;3;0
2172;;93 %; United States of America;Navarre FL;3;3
2286;;98 %; United Kingdom;Isle of Islay Scotland;3;2
2494;;100 %; Sweden;Ingarö;3;0
2091;;100 %; Germany;Berlin;3;1
2478;;99 %; United Kingdom;Berwick-upon-Tweed;3;3
2181;;100 %; Norway;Vanersborg;3;0
2203;;100 %; Sweden;Vanersborg;3;0
2568;;99 %; Germany;Wesel;3;3
2048;;96 %; Sweden;Åkersberga;3;1
2618;;100 %; Venezuela;Puerto Ordaz;3;3
2783;;100 %; Germany;Wunstorf;3;3
2785;;24 %; Hong Kong;Aberdeen;3;1
2829;;100 %; Australia;Mount Hicks;3;2
2854;;90 %; United Kingdom;Whitby;3;2
3006;;100 %; Netherlands;Heerenveen;3;2
3105;;100 %; Netherlands;Roaming station;3;0
3134;;100 %; Norway;Nærsnes;3;2
3243;;100 %; United Kingdom;Killyleagh;3;1
3253;;99 %; France;Le Mée sur Seine;3;3
3257;;90 %; United Kingdom;Hythe, Hampshire;3;0
3385;;100 %; Finland;Parainen;3;1
3435;;84 %; Australia;Taringa;3;0
3514;;100 %; Ireland;Baltimore;3;3
3639;;100 %; United Kingdom;Port of Tyne;3;3
3738;;100 %; United States of America;Pickwick Dam, Counce, TN;3;2
3915;;95 %; Russian Federation;Vladivostok;3;0
2151;;90 %; Norway;Straume;2;0
2248;;57 %; Australia;Perth;2;0
2444;;100 %; United States of America;Roaming station;2;2
2449;;51 %; United States of America;Johns Hopkins University;2;0
2368;;99 %; Denmark;Copenhagen ;2;0
2352;;100 %; Germany;Dresden;2;2
2176;;98 %; Germany;Glueckstadt;2;0
2053;;99 %; United States of America;New Jersey, Howell;2;0
2476;;100 %; Sweden;Norrmjöle;2;2
2016;;85 %; United States of America;Carolina Beach;2;2
2419;;98 %; Portugal;Porto Salvo;2;1
2566;;100 %; Estonia;Tallinn;2;0
2604;;100 %; Sweden;Sundbyberg;2;2
2645;;100 %; Netherlands;Ouddorp;2;0
2699;;95 %; United Kingdom;Poole;2;0
2758;;100 %; United Kingdom;Helensburgh;2;0
2762;;99 %; Singapore;Singapore;2;0
2774;;100 %; France;Bidart;2;0
2873;;94 %; Italy;Licata;2;0
2913;;99 %; Taiwan (Province of China);Taipei;2;2
2921;;100 %; Netherlands;Zeist;2;2
2941;;64 %; Unknown;Roaming station;2;2
2988;;77 %; Sweden;Trollhättan;2;0
3150;;91 %; Argentina;Ushuaia;2;2
3173;;81 %; Australia;Pgehgans Bay;2;1
3294;;99 %; Czech Republic;Prague;2;2
3301;;41 %; United States of America;Roaming station;2;2
3341;;100 %; Netherlands;Amstelveen;2;0
3357;;35 %; Ireland;Inishbofin;2;2
3413;;77 %; United States of America;Fairview;2;0
3416;;99 %; United Kingdom;London;2;0
3510;;100 %; Netherlands;Ter Apel;2;2
3801;;50 %; Ireland;Arranmore Island;2;2
3865;;67 %; Italy;Anzio;2;1
3896;;79 %; United States of America;Tarrytown, New York;2;1
3899;;82 %; Panama;Roaming station;2;0
2193;;76 %; United States of America;St George;1;1
3045;;92 %; United States of America;New York;1;0
2555;;88 %; United Kingdom;St. Andrews;1;1
2229;;100 %; United States of America;New York;1;1
2057;;88 %; United States of America;Seattle;1;0
2133;;43 %; United Kingdom;Caithness (Scotland);1;0
2364;;100 %; Netherlands;Uithoorn;1;0
2013;;94 %; Netherlands;Delft;1;0
2592;;100 %; Taiwan (Province of China);Keelung, National Taiwan Ocean University;1;1
2437;;100 %; United Kingdom;Liverpool;1;0
2482;;99 %; United States of America;San Francisco Bay;1;1
2220;;98 %; United Kingdom;Eccles;1;0
3003;;99 %; Canada;Young Island, Mahone Bay, Nova Scotia;1;1
2529;;98 %; United States of America;Arnold, MD;1;1
2309;;100 %; United Kingdom;Brighton;1;0
2390;;100 %; United States of America;Shelton Washington;0;0
2332;;100 %; United States of America;Martinique;1;1
2192;;85 %; Sweden;Norrköping;1;0
2302;;98 %; Spain;Llastres;1;1
2612;;89 %; Unknown; ;0;0
2613;;99 %; Germany;Winsen (Luhe);1;1
2616;;53 %; Netherlands;Houten;1;0
2633;;85 %; Germany;Bremen;1;0
2635;;100 %; Italy;Roaming station;1;0
2686;;100 %; United Kingdom;Brighton;1;0
2722;;93 %; United States of America;Salish Sea;1;1
2733;;100 %; Germany;Berlin;1;1
